date,state_territory,state,population_estimate,positive_increase,total_tests_viral,positive_cases_viral,total_test_encounters_viral,rate_of_new_cases,rate_of_pcr_tests,percent_positivity,new_case_moving_ave,pcr_test_moving_ave,percent_positivity_moving_ave
2020-05-27,Colorado,CO,5695564,296,NA,22208,180252,5.197027019624395,3164.778764666677,0.12320529037125802,5.332470773996847,3193.9267622511634,0.12276527197200753
2020-05-26,Colorado,CO,5695564,95,NA,21941,176077,1.6679647529199917,3091.4761031567728,0.12461025574038631,4.840860109978323,3100.3276033267794,0.12483882354213485
2020-05-25,Colorado,CO,5695564,210,NA,21857,172044,3.6870799801389293,3020.6666100143902,0.12704308200227848,4.941188816920878,3017.676814547502,0.12668477834916567
2020-05-24,Colorado,CO,5695564,477,NA,21657,168665,8.374938812029853,2961.3397373815833,0.1284024545697092,5.224617414033598,2940.1854295227454,0.1284577364435343
2020-05-23,Colorado,CO,5695564,296,NA,21202,162468,5.197027019624395,2852.535762920055,0.1304995445256912,5.184485931256576,2862.882160823506,0.13026762517385232
2020-05-22,Colorado,CO,5695564,394,NA,20903,158918,6.9176643436892284,2790.2065537319922,0.1315332435595716,5.608374718088875,2788.4909328432745,0.13200708302252054
2020-05-21,Colorado,CO,5695564,315,NA,20595,153797,5.530619970208394,2700.294474787747,0.13391028433584531,5.846655397077446,2716.0159831656456,0.13359075743016155
2020-05-20,Colorado,CO,5695564,280,NA,20304,149432,4.916106640185238,2623.655883772002,0.13587451148348412,5.656030853886589,2643.453245869442,0.13519040064328608
2020-05-19,Colorado,CO,5695564,264,NA,20028,146418,4.6351862607460825,2570.737507295151,0.13678646068106382,5.901836185895851,2575.342594943814,0.1367663395316361
2020-05-18,Colorado,CO,5695564,305,NA,19773,143149,5.3550447330589215,2513.3419622709885,0.13812880285576568,5.82408143801537,2505.4460930346095,0.13847389384067238
2020-05-17,Colorado,CO,5695564,401,NA,19507,139735,7.04056700969386,2453.4005763081586,0.13959995706158085,5.831606091036062,2438.3186634370186,0.14010432454615304
